@relation abalone-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily

@attribute Gender {M,F,I}
@attribute Length {'\'(-inf-0.149]\'','\'(0.149-0.223]\'','\'(0.223-0.297]\'','\'(0.297-0.371]\'','\'(0.371-0.445]\'','\'(0.445-0.519]\'','\'(0.519-0.593]\'','\'(0.593-0.667]\'','\'(0.667-0.741]\'','\'(0.741-inf)\''}
@attribute Diam {'\'(-inf-0.1145]\'','\'(0.1145-0.174]\'','\'(0.174-0.2335]\'','\'(0.2335-0.293]\'','\'(0.293-0.3525]\'','\'(0.3525-0.412]\'','\'(0.412-0.4715]\'','\'(0.4715-0.531]\'','\'(0.531-0.5905]\'','\'(0.5905-inf)\''}
@attribute Height {'\'(-inf-0.113]\'','\'(0.113-0.226]\'','\'(0.226-0.339]\'','\'(0.339-0.452]\'','\'(0.452-0.565]\'','\'(0.565-0.678]\'','\'(0.678-0.791]\'','\'(0.791-0.904]\'','\'(0.904-1.017]\'','\'(1.017-inf)\''}
@attribute Whole {'\'(-inf-0.28435]\'','\'(0.28435-0.5667]\'','\'(0.5667-0.84905]\'','\'(0.84905-1.1314]\'','\'(1.1314-1.41375]\'','\'(1.41375-1.6961]\'','\'(1.6961-1.97845]\'','\'(1.97845-2.2608]\'','\'(2.2608-2.54315]\'','\'(2.54315-inf)\''}
@attribute Shucked {'\'(-inf-0.1497]\'','\'(0.1497-0.2984]\'','\'(0.2984-0.4471]\'','\'(0.4471-0.5958]\'','\'(0.5958-0.7445]\'','\'(0.7445-0.8932]\'','\'(0.8932-1.0419]\'','\'(1.0419-1.1906]\'','\'(1.1906-1.3393]\'','\'(1.3393-inf)\''}
@attribute Viscera {'\'(-inf-0.07645]\'','\'(0.07645-0.1524]\'','\'(0.1524-0.22835]\'','\'(0.22835-0.3043]\'','\'(0.3043-0.38025]\'','\'(0.38025-0.4562]\'','\'(0.4562-0.53215]\'','\'(0.53215-0.6081]\'','\'(0.6081-0.68405]\'','\'(0.68405-inf)\''}
@attribute Shell {'\'(-inf-0.10185]\'','\'(0.10185-0.2022]\'','\'(0.2022-0.30255]\'','\'(0.30255-0.4029]\'','\'(0.4029-0.50325]\'','\'(0.50325-0.6036]\'','\'(0.6036-0.70395]\'','\'(0.70395-0.8043]\'','\'(0.8043-0.90465]\'','\'(0.90465-inf)\''}
@attribute Rings {'\'(-inf-3.8]\'','\'(3.8-6.6]\'','\'(6.6-9.4]\'','\'(9.4-12.2]\'','\'(12.2-15]\'','\'(15-17.8]\'','\'(17.8-20.6]\'','\'(20.6-23.4]\'','\'(23.4-26.2]\'','\'(26.2-inf)\''}

@data
M,'\'(0.445-0.519]\'','\'(0.3525-0.412]\'','\'(0.113-0.226]\'','\'(0.5667-0.84905]\'','\'(0.2984-0.4471]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
F,'\'(0.445-0.519]\'','\'(0.3525-0.412]\'','\'(0.113-0.226]\'','\'(0.5667-0.84905]\'','\'(0.2984-0.4471]\'','\'(0.07645-0.1524]\'','\'(0.2022-0.30255]\'','\'(6.6-9.4]\''
M,'\'(0.445-0.519]\'','\'(0.3525-0.412]\'','\'(0.113-0.226]\'','\'(0.5667-0.84905]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
M,'\'(0.445-0.519]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.5667-0.84905]\'','\'(0.2984-0.4471]\'','\'(0.1524-0.22835]\'','\'(0.2022-0.30255]\'','\'(6.6-9.4]\''
M,'\'(0.519-0.593]\'','\'(0.3525-0.412]\'','\'(0.113-0.226]\'','\'(0.5667-0.84905]\'','\'(0.2984-0.4471]\'','\'(0.07645-0.1524]\'','\'(0.2022-0.30255]\'','\'(6.6-9.4]\''
M,'\'(0.519-0.593]\'','\'(0.3525-0.412]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.4471-0.5958]\'','\'(0.1524-0.22835]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
F,'\'(0.519-0.593]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.5667-0.84905]\'','\'(0.2984-0.4471]\'','\'(0.1524-0.22835]\'','\'(0.2022-0.30255]\'','\'(9.4-12.2]\''
F,'\'(0.519-0.593]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.2984-0.4471]\'','\'(0.1524-0.22835]\'','\'(0.2022-0.30255]\'','\'(9.4-12.2]\''
F,'\'(0.519-0.593]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.2984-0.4471]\'','\'(0.1524-0.22835]\'','\'(0.2022-0.30255]\'','\'(6.6-9.4]\''
M,'\'(0.519-0.593]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.2984-0.4471]\'','\'(0.1524-0.22835]\'','\'(0.2022-0.30255]\'','\'(9.4-12.2]\''
F,'\'(0.519-0.593]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.2984-0.4471]\'','\'(0.1524-0.22835]\'','\'(0.2022-0.30255]\'','\'(9.4-12.2]\''
M,'\'(0.519-0.593]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.4471-0.5958]\'','\'(0.1524-0.22835]\'','\'(0.2022-0.30255]\'','\'(6.6-9.4]\''
M,'\'(0.519-0.593]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.4471-0.5958]\'','\'(0.22835-0.3043]\'','\'(0.2022-0.30255]\'','\'(9.4-12.2]\''
M,'\'(0.519-0.593]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.2984-0.4471]\'','\'(0.1524-0.22835]\'','\'(0.2022-0.30255]\'','\'(6.6-9.4]\''
M,'\'(0.519-0.593]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.5667-0.84905]\'','\'(0.2984-0.4471]\'','\'(0.1524-0.22835]\'','\'(0.10185-0.2022]\'','\'(9.4-12.2]\''
F,'\'(0.519-0.593]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.2984-0.4471]\'','\'(0.1524-0.22835]\'','\'(0.2022-0.30255]\'','\'(6.6-9.4]\''
M,'\'(0.519-0.593]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.4471-0.5958]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(6.6-9.4]\''
M,'\'(0.519-0.593]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.4471-0.5958]\'','\'(0.1524-0.22835]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.4471-0.5958]\'','\'(0.1524-0.22835]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(6.6-9.4]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.22835-0.3043]\'','\'(0.2022-0.30255]\'','\'(3.8-6.6]\''
F,'\'(0.593-0.667]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.4471-0.5958]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
M,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.5958-0.7445]\'','\'(0.1524-0.22835]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
M,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.5958-0.7445]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.5958-0.7445]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
M,'\'(0.593-0.667]\'','\'(0.412-0.4715]\'','\'(0.113-0.226]\'','\'(0.84905-1.1314]\'','\'(0.2984-0.4471]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(6.6-9.4]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.3043-0.38025]\'','\'(0.2022-0.30255]\'','\'(9.4-12.2]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.5958-0.7445]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
M,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.3043-0.38025]\'','\'(0.30255-0.4029]\'','\'(6.6-9.4]\''
M,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.22835-0.3043]\'','\'(0.4029-0.50325]\'','\'(9.4-12.2]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.5958-0.7445]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
M,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.5958-0.7445]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(6.6-9.4]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.1524-0.22835]\'','\'(0.4029-0.50325]\'','\'(9.4-12.2]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
M,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.22835-0.3043]\'','\'(0.4029-0.50325]\'','\'(12.2-15]\''
M,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.5958-0.7445]\'','\'(0.3043-0.38025]\'','\'(0.30255-0.4029]\'','\'(6.6-9.4]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.5958-0.7445]\'','\'(0.3043-0.38025]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.5958-0.7445]\'','\'(0.22835-0.3043]\'','\'(0.2022-0.30255]\'','\'(6.6-9.4]\''
F,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.41375-1.6961]\'','\'(0.7445-0.8932]\'','\'(0.3043-0.38025]\'','\'(0.30255-0.4029]\'','\'(6.6-9.4]\''
M,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.41375-1.6961]\'','\'(0.5958-0.7445]\'','\'(0.3043-0.38025]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
M,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.22835-0.3043]\'','\'(0.4029-0.50325]\'','\'(6.6-9.4]\''
M,'\'(0.593-0.667]\'','\'(0.531-0.5905]\'','\'(0.113-0.226]\'','\'(1.97845-2.2608]\'','\'(0.8932-1.0419]\'','\'(0.3043-0.38025]\'','\'(0.50325-0.6036]\'','\'(15-17.8]\''
M,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.1524-0.22835]\'','\'(0.4029-0.50325]\'','\'(12.2-15]\''
M,'\'(0.593-0.667]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.41375-1.6961]\'','\'(0.7445-0.8932]\'','\'(0.22835-0.3043]\'','\'(0.30255-0.4029]\'','\'(9.4-12.2]\''
F,'\'(0.667-0.741]\'','\'(0.531-0.5905]\'','\'(0.113-0.226]\'','\'(1.1314-1.41375]\'','\'(0.4471-0.5958]\'','\'(0.22835-0.3043]\'','\'(0.4029-0.50325]\'','\'(9.4-12.2]\''
F,'\'(0.667-0.741]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.6961-1.97845]\'','\'(0.7445-0.8932]\'','\'(0.38025-0.4562]\'','\'(0.4029-0.50325]\'','\'(9.4-12.2]\''
F,'\'(0.667-0.741]\'','\'(0.4715-0.531]\'','\'(0.113-0.226]\'','\'(1.41375-1.6961]\'','\'(0.5958-0.7445]\'','\'(0.3043-0.38025]\'','\'(0.4029-0.50325]\'','\'(6.6-9.4]\''
F,'\'(0.667-0.741]\'','\'(0.531-0.5905]\'','\'(0.113-0.226]\'','\'(1.6961-1.97845]\'','\'(0.7445-0.8932]\'','\'(0.3043-0.38025]\'','\'(0.4029-0.50325]\'','\'(9.4-12.2]\''
F,'\'(0.667-0.741]\'','\'(0.531-0.5905]\'','\'(0.113-0.226]\'','\'(1.41375-1.6961]\'','\'(0.7445-0.8932]\'','\'(0.3043-0.38025]\'','\'(0.4029-0.50325]\'','\'(9.4-12.2]\''
F,'\'(0.667-0.741]\'','\'(0.531-0.5905]\'','\'(0.113-0.226]\'','\'(1.6961-1.97845]\'','\'(0.7445-0.8932]\'','\'(0.38025-0.4562]\'','\'(0.4029-0.50325]\'','\'(9.4-12.2]\''
M,'\'(0.667-0.741]\'','\'(0.5905-inf)\'','\'(0.226-0.339]\'','\'(2.54315-inf)\'','\'(1.0419-1.1906]\'','\'(0.38025-0.4562]\'','\'(0.8043-0.90465]\'','\'(15-17.8]\''
I,'\'(0.149-0.223]\'','\'(0.1145-0.174]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.223-0.297]\'','\'(0.174-0.2335]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.223-0.297]\'','\'(0.174-0.2335]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(-inf-3.8]\''
I,'\'(0.223-0.297]\'','\'(0.174-0.2335]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.223-0.297]\'','\'(0.174-0.2335]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.223-0.297]\'','\'(0.174-0.2335]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.223-0.297]\'','\'(0.1145-0.174]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.223-0.297]\'','\'(0.174-0.2335]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.297-0.371]\'','\'(0.174-0.2335]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.297-0.371]\'','\'(0.174-0.2335]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.297-0.371]\'','\'(0.174-0.2335]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(6.6-9.4]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(6.6-9.4]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(6.6-9.4]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(6.6-9.4]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(6.6-9.4]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.297-0.371]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(6.6-9.4]\''
I,'\'(0.371-0.445]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.371-0.445]\'','\'(0.2335-0.293]\'','\'(-inf-0.113]\'','\'(-inf-0.28435]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(6.6-9.4]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(6.6-9.4]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(-inf-0.07645]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(0.113-0.226]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(-inf-0.10185]\'','\'(3.8-6.6]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(-inf-0.07645]\'','\'(0.10185-0.2022]\'','\'(3.8-6.6]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(-inf-0.10185]\'','\'(6.6-9.4]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(0.113-0.226]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(-inf-0.07645]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(0.113-0.226]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(3.8-6.6]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(0.113-0.226]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(3.8-6.6]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(-inf-0.1497]\'','\'(-inf-0.07645]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
F,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(3.8-6.6]\''
I,'\'(0.371-0.445]\'','\'(0.293-0.3525]\'','\'(0.113-0.226]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
I,'\'(0.445-0.519]\'','\'(0.3525-0.412]\'','\'(0.113-0.226]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
I,'\'(0.445-0.519]\'','\'(0.3525-0.412]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
I,'\'(0.445-0.519]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
I,'\'(0.445-0.519]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.1524-0.22835]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
I,'\'(0.445-0.519]\'','\'(0.3525-0.412]\'','\'(0.113-0.226]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
I,'\'(0.445-0.519]\'','\'(0.3525-0.412]\'','\'(0.113-0.226]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(3.8-6.6]\''
I,'\'(0.445-0.519]\'','\'(0.3525-0.412]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
I,'\'(0.445-0.519]\'','\'(0.293-0.3525]\'','\'(-inf-0.113]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
I,'\'(0.445-0.519]\'','\'(0.3525-0.412]\'','\'(0.113-0.226]\'','\'(0.28435-0.5667]\'','\'(0.1497-0.2984]\'','\'(0.07645-0.1524]\'','\'(0.10185-0.2022]\'','\'(6.6-9.4]\''
